,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
0,Non-Fatal,1725,0,2962,975,1.0,0,2,1,1982,6,13,1.0,1.0,0.0,1,0
1,Non-Fatal,7690,0,2962,3850,1.0,0,2,2,1982,7,1,2.0,2.0,0.0,2,1
2,Fatal,4220,0,2962,6614,1.0,0,2,0,1982,7,16,1.0,1.0,100.0,0,1
3,Non-Fatal,12732,0,2962,4232,1.0,0,2,6,1982,8,21,0.0,1.0,0.0,1,1
4,Non-Fatal,11329,2,2962,5814,1.0,0,2,5,1982,8,24,0.0,1.0,0.0,1,1
5,Non-Fatal,9899,2,2962,5974,1.0,0,2,9,1982,9,11,2.0,2.0,0.0,2,1
6,Fatal,3680,2,2962,3602,1.0,0,2,0,1982,10,23,1.0,1.0,100.0,0,1
7,Non-Fatal,5823,2,2962,5284,1.0,0,2,9,1990,11,2,0.0,1.0,0.0,1,1
8,Non-Fatal,3361,2,2962,6463,2.0,5,2,9,2007,9,2,0.0,2.0,0.0,2,0
9,Fatal,10886,0,0,3274,1.0,0,2,6,1994,6,8,1.0,1.0,100.0,0,1
10,Non-Fatal,12541,2,1,2674,1.0,0,2,2,1990,5,27,0.0,1.0,0.0,1,1
11,Fatal,10666,0,2,3791,1.0,0,2,6,1992,2,4,1.0,1.0,100.0,0,1
12,Non-Fatal,7481,0,3,3456,1.0,0,2,9,1992,5,30,0.0,1.0,0.0,1,1
13,Non-Fatal,9473,2,4,5282,1.0,0,2,9,1994,8,27,1.0,1.0,0.0,1,1
14,Fatal,7945,0,5,3412,2.0,5,2,9,1999,6,13,1.0,1.0,100.0,0,0
15,Non-Fatal,8889,0,6,3498,1.0,0,2,9,1989,7,30,0.0,1.0,0.0,1,1
16,Non-Fatal,10320,2,7,3998,1.0,0,2,3,1991,9,27,1.0,1.0,0.0,1,1
17,Non-Fatal,11285,2,7,6007,1.0,0,2,6,2000,9,5,0.0,1.0,0.0,1,1
18,Non-Fatal,8933,0,8,4508,1.0,0,2,6,1999,1,17,0.0,1.0,0.0,1,1
19,Non-Fatal,8054,2,9,6285,1.0,0,2,2,1999,5,16,1.0,1.0,0.0,1,1
20,Non-Fatal,7945,0,10,5166,1.0,0,2,1,1992,9,20,2.0,2.0,0.0,2,1
21,Non-Fatal,13042,2,11,2641,1.0,0,2,9,1994,7,24,1.0,1.0,0.0,1,1
22,Non-Fatal,6553,2,12,1516,1.0,0,2,9,1993,3,6,0.0,1.0,0.0,1,1
23,Non-Fatal,9443,2,13,5606,1.0,0,2,9,1989,8,13,1.0,1.0,0.0,1,1
24,Non-Fatal,5906,1,14,1802,2.0,5,2,5,1989,3,11,4.0,5.0,0.0,5,0
25,Non-Fatal,11171,2,14,3808,1.0,0,2,5,1995,10,10,1.0,1.0,0.0,1,1
26,Non-Fatal,3835,2,14,5355,1.0,0,2,5,1999,6,13,0.0,1.0,0.0,1,1
27,Non-Fatal,718,2,14,1491,0.0,5,2,5,1984,7,14,1.0,5.0,0.0,5,0
28,Non-Fatal,4605,0,14,1447,0.0,5,2,2,1990,1,21,1.0,1.0,0.0,1,0
29,Non-Fatal,13672,2,14,1491,2.0,5,2,5,1983,10,8,1.0,6.0,0.0,6,0
30,Non-Fatal,226,2,14,1447,0.0,5,2,0,1989,10,8,0.0,3.0,0.0,3,0
31,Non-Fatal,7091,2,14,1448,2.0,5,2,8,2000,3,18,3.0,3.0,0.0,3,0
32,Non-Fatal,13619,0,14,1448,2.0,5,2,8,1999,7,3,2.0,2.0,0.0,2,0
33,Non-Fatal,629,2,14,1451,2.0,5,2,9,1990,5,27,1.0,5.0,0.0,5,0
34,Fatal,4424,2,14,1448,2.0,5,2,3,1997,12,6,1.0,2.0,50.0,1,0
35,Non-Fatal,11897,2,14,6259,1.0,0,2,9,1994,7,3,1.0,1.0,0.0,1,1
36,Non-Fatal,3996,2,14,2242,1.0,0,2,0,1990,5,19,0.0,1.0,0.0,1,1
37,Fatal,6268,0,14,5863,1.0,0,2,9,1997,11,16,1.0,1.0,100.0,0,1
38,Non-Fatal,4284,2,14,1447,0.0,5,2,5,1982,5,30,0.0,2.0,0.0,2,0
39,Non-Fatal,11493,1,14,6458,0.0,5,1,5,1989,4,27,3.0,4.0,0.0,4,1
40,Non-Fatal,188,1,14,1447,0.0,5,2,5,1986,4,20,1.0,3.0,0.0,3,0
41,Non-Fatal,629,2,14,1372,2.0,5,2,5,1988,1,18,3.0,4.0,0.0,4,0
42,Non-Fatal,2476,2,14,1448,2.0,5,2,5,1988,6,29,1.0,2.0,0.0,2,0
43,Non-Fatal,899,2,15,5165,1.0,0,2,9,1985,12,15,0.0,1.0,0.0,1,1
44,Fatal,13500,0,16,5973,1.0,0,2,9,1993,7,4,2.0,2.0,50.0,1,1
45,Fatal,9422,0,17,3998,1.0,0,2,2,1997,10,12,1.0,1.0,100.0,0,1
46,Non-Fatal,12431,2,18,2269,1.0,0,2,9,1994,8,23,1.0,1.0,0.0,1,1
47,Non-Fatal,10585,0,19,6578,1.0,0,2,9,1994,8,24,2.0,2.0,0.0,2,0
48,Non-Fatal,9473,2,20,2271,1.0,0,2,9,1991,11,17,1.0,1.0,0.0,1,0
49,Non-Fatal,13166,0,21,5083,1.0,0,2,9,1985,8,21,1.0,1.0,0.0,1,1
50,Non-Fatal,13244,0,21,6453,1.0,0,2,6,1996,2,20,1.0,1.0,0.0,1,0
51,Non-Fatal,10914,2,22,6518,1.0,0,2,5,1998,12,29,0.0,3.0,0.0,3,1
52,Non-Fatal,1370,2,23,999,2.0,0,2,5,1999,10,24,0.0,2.0,0.0,2,0
53,Fatal,2155,0,23,1003,2.0,0,2,9,1985,7,27,1.0,1.0,100.0,0,0
54,Non-Fatal,6102,2,23,887,2.0,0,2,5,1987,9,25,0.0,1.0,0.0,1,0
55,Non-Fatal,12381,2,23,5512,1.0,0,2,6,1989,8,3,0.0,1.0,0.0,1,0
56,Non-Fatal,5980,2,23,19,1.0,0,2,9,1996,5,29,0.0,1.0,0.0,1,0
57,Non-Fatal,12577,2,23,1017,2.0,3,2,5,2008,5,30,0.0,2.0,0.0,2,0
58,Fatal,9273,2,23,931,2.0,0,2,0,1995,8,22,1.0,1.0,100.0,0,0
59,Non-Fatal,785,0,23,20,1.0,0,2,9,1990,1,21,0.0,1.0,0.0,1,0
60,Non-Fatal,12441,2,23,5512,1.0,0,2,5,1989,8,10,0.0,1.0,0.0,1,0
61,Non-Fatal,11386,2,23,930,2.0,0,2,5,1983,10,16,0.0,2.0,0.0,2,0
62,Non-Fatal,7528,0,23,20,1.0,0,2,0,1985,6,27,0.0,4.0,0.0,4,0
63,Non-Fatal,9197,2,23,5512,1.0,0,2,6,1995,7,6,0.0,1.0,0.0,1,0
64,Non-Fatal,2400,0,23,2454,1.0,0,2,6,1996,7,1,1.0,1.0,0.0,1,0
65,Non-Fatal,13389,2,23,5512,1.0,0,2,6,1995,7,7,0.0,1.0,0.0,1,0
66,Non-Fatal,13493,2,23,895,2.0,0,2,0,1999,6,12,0.0,2.0,0.0,2,0
67,Non-Fatal,1889,0,23,911,2.0,0,2,2,1987,7,27,2.0,2.0,0.0,2,0
68,Non-Fatal,6863,2,23,1017,2.0,3,2,2,1984,1,20,0.0,1.0,0.0,1,0
69,Non-Fatal,8221,2,23,19,1.0,0,2,9,1987,11,1,0.0,3.0,0.0,3,0
70,Non-Fatal,10164,2,23,1005,2.0,0,2,2,1982,5,15,0.0,2.0,0.0,2,0
71,Non-Fatal,9349,2,23,2460,1.0,0,2,2,1987,7,31,0.0,1.0,0.0,1,0
72,Non-Fatal,13666,2,23,5512,1.0,0,2,2,1995,8,2,0.0,1.0,0.0,1,0
73,Non-Fatal,9189,2,23,20,1.0,0,2,2,1995,8,11,4.0,4.0,0.0,4,0
74,Non-Fatal,5696,2,23,5512,1.0,0,2,6,1995,7,21,1.0,1.0,0.0,1,0
75,Non-Fatal,64,2,23,1046,2.0,0,2,2,1987,9,30,2.0,2.0,0.0,2,0
76,Non-Fatal,12930,0,23,950,1.0,0,2,0,1989,12,11,0.0,1.0,0.0,1,0
77,Non-Fatal,363,2,23,1378,1.0,0,2,2,1983,9,26,1.0,1.0,0.0,1,0
78,Fatal,4206,0,23,887,2.0,0,2,3,1983,11,20,6.0,6.0,100.0,0,0
79,Non-Fatal,8509,2,23,5512,1.0,0,2,6,1983,9,29,0.0,1.0,0.0,1,0
80,Non-Fatal,440,2,23,1015,2.0,3,2,2,1987,9,2,0.0,5.0,0.0,5,0
81,Non-Fatal,1683,2,23,5512,1.0,0,2,9,1999,9,1,0.0,1.0,0.0,1,0
82,Non-Fatal,11031,2,23,19,1.0,0,2,2,1983,11,16,0.0,1.0,0.0,1,0
83,Fatal,7323,0,23,895,2.0,0,2,6,1996,2,11,3.0,3.0,100.0,0,0
84,Non-Fatal,7752,2,23,53,1.0,0,2,8,1995,12,11,0.0,2.0,0.0,2,0
85,Fatal,2372,0,23,911,2.0,0,0,2,1983,11,8,2.0,2.0,100.0,0,0
